"K2"	"K4"	"K10"	"K3"	"K5"	"K23"	"K7"	"K24"	"K19"	"K8"	"K9"	"K28"	"K12"	"K6"	"K30"	"K21"	"K11"	"K14"	"K17"	"K27"	"K16"	"K1"	"K20"	"K25"	"K26"	"K22"	"K13"	"K18"	"K29"	"K15"
"CCRA"	0	0	0	0	4	2	0	0	0	0	0	2	0	0	0	2	2	2	0	0	0	0	0	8	0	0	0	0	0	0
"CDEA"	2	8	180	6	10	22	20	0	6	0	0	14	2	282	20	20	4	6	4	8	14	0	0	6	6	4	10	2	2	8
"CDSA|RequiresSNPConfirmation"	6	10	0	0	16	14	16	0	0	0	0	46	0	76	30	2	0	0	0	4	12	0	0	12	16	10	34	4	4	2
"CEOA"	98	22	1656	6	280	478	142	30	96	20	2	242	8	930	64	112	82	68	12	112	116	8	6	76	88	42	1330	32	48	268
"CEOB"	110	100	3660	16	662	1180	404	69	136	23	24	622	23	1906	160	741	179	240	52	103	427	20	33	180	134	114	1199	86	102	908
"CEPA"	6	0	4	0	26	4	8	2	8	0	0	12	0	24	18	24	14	2	2	10	24	0	0	4	10	4	20	0	2	12
"CEPAB"	17	4	2018	2	74	74	83	19	14	2	0	46	2	134	24	56	16	10	2	24	56	4	2	42	18	8	90	4	10	110
"CEPH"	6	12	0	2	68	36	22	8	16	0	0	14	2	108	20	64	16	14	10	60	36	0	6	8	4	16	42	14	4	44
"CEPS"	36	8	26	86	98	100	92	46	16	2	0	52	0	122	28	42	28	40	2	28	94	0	0	26	34	16	76	6	10	60
"CEUE"	8	0	0	2	6	6	18	0	2	0	0	12	0	14	10	18	2	6	0	4	6	0	0	6	20	6	44	6	0	10
"CFE"	20	18	26	12	106	52	88	14	4	2	0	72	2	372	28	66	18	20	6	8	62	0	2	20	104	12	74	8	4	16
"CFIA"	23	0	0	0	78	43	42	10	8	2	2	30	0	25	15	58	30	3	8	15	80	2	1	55	22	4	77	5	0	10
"CFR"	17	5	2	2	50	40	52	8	13	5	0	8	0	24	11	44	14	17	11	8	39	0	2	11	32	20	45	0	1	2
"CFRA"	0	2	0	0	34	10	22	0	0	0	0	4	4	36	10	4	0	0	0	2	20	0	0	6	4	0	8	4	2	2
"CFRB"	6	0	0	0	12	18	8	4	4	0	0	18	0	38	6	10	2	2	2	0	0	0	0	10	0	4	10	0	0	2
"CFRC"	4	0	0	0	6	8	6	0	8	0	0	8	0	8	12	8	6	0	0	0	6	0	0	6	4	0	0	0	2	0
"CFX"	523	127	5	104	4396	275	2254	589	535	35	0	588	3	310	2368	3233	143	543	238	752	2576	124	26	1366	815	580	3884	128	254	222
"CGA"	10	4	0	2	16	20	18	0	0	0	0	2	0	24	6	12	2	0	4	2	8	0	0	4	10	10	12	8	0	0
"CGB"	2	0	0	2	10	6	0	0	6	0	0	6	0	2	0	10	12	8	2	8	18	0	0	0	0	2	8	0	2	4
"CHAA"	14	0	4530	0	32	30	41	10	8	2	4	57	2	80	10	211	4	6	0	0	15	0	4	16	15	8	36	0	3	10
"CHR"	68	26	504	24	174	226	130	16	44	4	0	112	6	434	26	112	52	54	14	52	82	6	12	58	78	26	94	24	18	40
"CHRA"	104	52	1036	6	406	394	300	48	88	4	8	250	34	1058	80	218	126	112	20	82	230	0	4	132	108	62	386	24	62	447
"CHRB"	14	14	96	16	76	126	36	0	20	0	0	28	2	197	12	40	14	18	2	24	34	0	2	36	16	4	24	0	16	78
"CHRB1"	12	12	0	4	82	64	38	78	26	0	0	36	2	40	22	48	32	20	16	18	74	0	14	26	22	0	42	2	8	106
"CHRBM"	22	12	328	2	106	116	62	24	22	0	0	62	6	1004	24	48	2	36	2	20	50	6	0	32	34	10	386	2	14	104
"CHRC"	10	0	118	0	20	32	22	0	0	0	0	20	0	48	4	4	0	14	8	20	8	4	0	0	14	4	10	8	2	8
"CHRE"	4	0	0	2	22	42	6	0	4	0	0	46	6	98	4	4	0	10	0	2	2	0	2	0	10	4	6	0	0	18
"CHRF"	0	2	0	0	20	30	12	0	10	4	0	4	0	10	2	6	10	8	4	2	6	0	2	22	0	8	24	4	2	6
"CHRI"	6	14	0	0	26	14	10	2	0	0	0	10	0	0	6	4	4	6	0	12	10	0	0	2	4	0	16	0	0	10
"CHRR"	6	0	0	4	12	21	22	32	0	2	0	2	0	16	2	12	0	4	0	4	30	0	4	2	0	8	10	0	2	0
"CIA"	2	0	0	0	44	18	26	0	10	2	0	8	0	8	12	40	4	4	4	6	10	0	2	44	2	10	30	0	0	12
"CINA"	34	8	5830	0	112	84	62	6	14	4	0	94	0	103	26	32	34	20	8	36	78	0	12	44	32	6	373	6	8	82
"CIPA"	6	0	0	0	14	20	20	0	0	0	0	4	0	22	8	12	0	0	0	0	8	0	0	4	8	0	10	0	0	4
"CKO"	10	0	0	0	54	22	4	8	14	0	0	18	0	18	20	44	14	26	0	14	100	2	2	6	6	2	32	0	2	20
"CLBA"	6	0	0	0	24	16	14	10	0	0	0	2	0	32	14	16	0	4	0	4	16	0	0	6	0	0	20	0	6	2
"CLBB"	18	0	66	0	24	8	16	4	6	0	4	2	0	8	14	18	4	8	0	8	30	0	4	12	18	2	34	2	0	8
"CLBC"	4	10	12	0	14	8	28	10	2	0	0	20	0	158	6	12	4	0	4	2	16	2	0	10	4	4	16	2	0	4
"CLBD"	2	0	0	0	4	4	2	0	0	0	0	6	0	18	0	2	0	0	0	0	2	0	0	16	0	0	4	0	0	2
"CLS|RequiresSNPConfirmation"	75	6	7866	2	132	67	154	12	10	0	0	44	0	128	27	94	34	32	8	20	99	0	2	5	42	18	78	8	22	18
"CMA"	28	18	38	10	124	216	90	22	28	12	0	106	34	484	18	120	14	38	6	12	88	6	6	30	22	16	216	8	14	276
"CME"	4	4	0	0	36	10	12	4	0	4	0	4	0	8	8	24	6	6	2	4	16	0	2	2	18	4	8	4	0	0
"CMEA"	18	6	0	4	22	20	54	8	6	0	0	18	0	20	20	18	16	2	4	16	10	0	0	14	8	12	18	0	6	6
"CMEB"	46	8	10	8	117	48	138	8	10	6	0	84	0	92	58	94	22	22	8	22	70	0	22	24	57	18	58	0	14	12
"CMEC"	10	2	44	2	64	14	62	6	8	2	0	28	2	56	4	40	2	10	2	0	12	0	4	8	44	2	24	2	8	0
"CMED"	0	0	20	0	38	24	10	0	0	0	0	20	0	44	18	30	0	0	4	8	6	0	0	0	14	0	0	0	2	0
"CMEE"	0	4	4	0	12	2	22	2	8	2	0	16	0	28	10	42	4	8	0	0	2	0	0	8	8	14	20	2	0	6
"CMEF"	18	2	0	0	34	18	34	0	6	0	0	16	0	28	12	12	6	16	0	2	24	0	2	12	16	4	28	0	0	12
"CMER"	2	2	78	0	8	0	18	0	4	0	0	0	0	0	4	20	0	2	2	0	6	0	2	4	2	4	6	0	0	2
"CMH"	54	16	2	4	94	144	62	26	32	8	0	48	0	68	28	78	16	38	14	26	48	4	4	38	34	22	98	8	6	84
"CMLA"	42	18	4	6	132	88	126	16	20	2	2	41	0	137	18	78	26	18	8	20	78	0	12	34	44	20	88	2	18	68
"CMLB"	18	22	374	0	88	84	64	12	4	0	0	132	0	324	50	52	24	28	4	12	42	0	0	24	22	28	154	0	22	218
"CMLR"	56	30	948	10	226	296	133	10	76	8	4	221	16	2274	68	44	60	36	26	54	128	6	4	36	60	32	560	17	36	189
"CMLV"	92	42	120	30	394	584	166	44	74	6	2	334	64	2042	47	200	102	180	34	118	322	12	24	126	108	54	406	24	34	616
"CMR"	16	10	942	18	120	137	61	6	2	0	0	93	0	414	21	82	14	28	10	56	73	0	2	16	22	13	76	2	8	68
"CMRA"	52	56	710	14	208	370	120	16	30	0	0	258	46	2832	50	66	48	40	8	66	106	2	8	72	52	22	200	14	30	286
"CMTR"	8	0	378	0	16	28	6	2	0	0	0	4	0	2	2	6	4	6	0	2	12	0	0	2	6	6	8	0	0	18
"CMX"	26	8	306	2	96	209	43	14	18	2	0	48	1	254	40	42	12	67	16	20	44	4	4	50	38	11	54	8	0	73
"CMY"	308	136	1042	36	1137	904	952	188	158	26	0	462	42	2468	268	718	266	222	92	288	716	12	38	308	564	146	886	70	172	728
"CNRA"	190	106	892	58	968	1047	520	72	144	30	8	518	18	2484	270	368	194	249	66	258	598	26	32	200	260	124	2120	102	110	765
"CNRB"	44	12	624	4	158	174	162	32	20	0	0	130	2	560	58	90	54	50	2	26	128	6	0	56	88	26	152	10	24	618
"CNRC"	72	22	272	2	150	124	112	22	32	2	0	222	6	290	20	54	46	36	12	36	74	2	8	24	44	26	134	2	16	120
"CNRH"	10	2	0	0	56	32	28	8	10	2	0	34	0	44	14	26	20	2	18	4	28	0	16	10	16	4	34	8	4	28
"CNRR"	28	32	2	0	126	224	96	10	30	0	0	116	4	450	54	44	42	34	6	30	36	4	10	14	64	6	112	6	28	296
"CNRT"	14	10	756	6	86	76	78	36	18	4	0	46	0	86	28	62	14	8	0	18	60	0	22	26	8	12	178	14	14	36
"CNRY"	14	0	0	0	14	38	2	2	2	0	0	26	0	28	10	2	2	8	0	20	16	0	0	6	6	2	16	2	6	8
"COAR"	2	6	24	0	36	4	34	4	4	0	0	22	0	14	12	14	10	8	6	0	12	0	2	2	4	20	38	2	0	2
"COMR"	7	8	3680	2	54	20	32	8	0	0	0	34	4	12	2	60	11	3	0	22	20	2	2	13	19	12	61	0	2	2
"COPA"	517	283	40694	83	1937	2018	1267	227	311	60	24	1298	76	3715	607	1438	366	352	157	409	1199	32	71	586	554	301	2061	137	145	1457
"COPAM"	114	50	1245	12	291	302	282	30	30	6	3	206	16	458	72	164	51	119	12	86	252	4	10	98	86	58	272	20	32	156
"COPB"	198	78	1239	28	580	608	390	70	124	14	2	290	12	991	148	294	136	128	44	166	332	28	22	188	248	120	1008	58	58	661
"COPBM"	46	12	117	6	132	64	76	10	12	0	0	28	2	142	38	116	24	28	8	12	47	0	6	20	40	22	386	0	11	16
"COPC"	114	96	162	18	486	322	294	56	98	28	0	174	6	214	106	216	102	86	66	142	302	10	18	144	234	78	504	22	66	152
"COPD"	144	36	468	6	400	318	276	46	64	12	6	226	8	694	126	252	124	98	20	107	304	8	6	112	134	66	316	14	96	269
"COPF"	120	60	2362	6	356	432	312	166	54	20	10	284	42	1589	108	253	74	106	31	141	235	0	26	132	98	46	366	8	50	275
"COPG"	10	4	0	6	176	60	46	10	22	4	0	56	4	88	18	32	28	26	12	26	82	0	2	42	22	8	348	6	10	63
"COPJ"	4	8	0	0	70	26	24	14	4	0	0	54	0	76	2	16	18	10	0	6	22	0	4	26	8	4	32	4	6	22
"COPK"	10	2	0	2	54	28	36	0	6	0	0	2	2	18	20	16	8	10	6	18	22	6	0	16	0	0	32	0	2	8
"COPL"	14	8	2	0	102	52	34	12	8	4	0	48	0	24	26	48	32	32	6	66	48	2	0	28	16	28	574	2	10	42
"COPM"	6	14	0	2	102	62	54	8	24	6	0	22	2	136	48	72	14	20	2	20	48	2	4	20	48	10	58	2	8	62
"COPP"	10	0	0	0	4	0	6	0	2	0	0	2	0	0	6	4	0	0	0	2	6	0	0	6	0	0	0	0	0	2
"COPR"	92	40	3946	14	258	300	301	60	68	0	5	150	0	515	104	148	79	56	22	64	210	8	10	75	130	54	176	23	34	169
"COPS"	114	80	292	22	376	599	356	40	72	18	0	228	10	1148	104	240	130	90	36	94	312	10	24	108	96	58	1262	32	40	398
"COPV"	16	10	408	6	102	172	36	28	18	10	4	142	0	262	16	50	16	24	4	20	30	2	4	30	12	6	116	2	6	98
"COPY"	4	0	2	0	28	0	20	0	4	0	0	4	0	78	6	12	4	2	0	0	16	0	0	0	0	0	6	0	4	2
"COPZ"	0	0	1125	0	33	38	8	6	4	0	0	4	0	12	12	14	4	0	0	0	14	0	2	6	2	2	11	8	0	12
"CORA"	82	20	9759	6	296	213	164	42	28	8	0	218	2	216	60	209	72	66	0	130	126	8	8	98	60	36	359	10	12	122
"CORB"	24	32	5917	12	80	58	80	25	2	3	0	67	4	94	34	46	13	13	2	10	62	4	2	38	19	12	121	6	12	28
"CORC"	18	6	9191	4	78	56	49	39	12	4	0	79	0	122	36	68	16	21	6	26	49	2	3	29	28	18	119	8	8	40
"CORD"	7	8	4632	2	44	246	16	5	2	0	4	113	24	354	30	60	4	3	0	4	26	0	4	29	15	8	47	6	12	162
"CORR"	89	18	4038	18	375	413	210	68	90	6	4	282	4	1042	88	256	58	162	40	107	318	4	26	120	68	98	346	30	46	455
"CORS"	40	78	1920	16	275	376	154	32	56	10	4	236	22	1562	80	92	38	48	6	82	122	12	6	104	72	48	528	12	26	280
"CORT"	24	8	366	8	123	127	138	12	20	6	0	85	6	378	50	74	38	39	16	26	62	2	2	38	47	23	70	12	30	48
"CPAA"	0	2	0	2	18	58	60	0	4	4	0	24	0	30	10	24	0	6	0	2	16	0	10	6	24	16	48	2	0	16
"CPHA"	122	48	768	20	384	296	376	134	88	14	0	272	10	606	102	262	86	78	32	102	280	0	14	90	106	118	350	32	40	214
"CPS"	2	2	0	0	26	8	12	0	0	2	0	8	0	60	10	14	2	2	0	2	14	10	0	0	6	4	8	2	0	6
"CPT"	24	44	250	30	168	443	132	32	16	0	2	318	62	2678	34	68	64	64	12	90	116	0	12	52	72	24	196	10	38	466
"CPXAR"	286	176	32724	56	1246	1345	806	208	203	70	18	1209	48	4721	247	921	244	379	121	404	798	10	33	373	336	228	1568	80	141	1936
"CRD"	38	16	496	10	168	108	84	26	18	2	0	44	2	146	32	50	32	28	6	28	202	0	6	40	32	12	148	6	32	74
"CRDA"	0	4	18	0	2	12	2	8	4	0	0	0	0	0	2	2	0	0	0	2	6	0	0	0	10	4	0	0	2	8
"CRDB"	6	0	38	0	26	28	22	4	0	0	0	18	0	8	10	14	4	6	4	2	24	0	4	0	6	6	10	2	4	4
"CRDR"	10	0	0	0	8	0	6	2	4	0	0	4	0	44	2	26	0	2	0	0	10	0	2	2	6	2	14	0	0	6
"CRDS"	10	2	0	0	30	8	26	0	6	0	0	22	0	36	12	20	10	2	0	0	28	0	2	10	8	6	4	0	4	2
"CRH"	66	82	526	8	358	454	210	44	40	8	0	312	44	1086	54	118	62	128	28	82	226	12	6	98	112	66	214	12	26	548
"CRP"	14	0	4547	0	44	77	96	11	4	1	0	56	0	12	87	36	14	6	0	20	10	0	3	27	9	0	60	1	7	11
"CRPP"	0	0	456	0	2	0	2	2	0	0	1	0	0	2	8	16	0	0	0	0	2	0	0	1	8	0	0	0	0	0
"CSA"	38	18	36	10	178	156	84	36	56	2	0	106	2	278	36	96	46	36	20	52	92	2	6	56	38	40	188	18	16	142
"CSOR"	0	6	786	0	18	6	12	2	6	0	0	6	0	4	6	28	0	0	4	12	4	0	0	5	4	0	8	0	0	0
"CSP"	8	2	0	0	24	32	14	0	6	0	0	10	0	44	2	10	0	6	0	2	16	0	0	4	2	0	36	0	0	6
"CTPC"	265	231	2895	44	1204	1874	575	164	290	29	3	1004	77	6567	261	572	225	337	88	250	726	16	25	281	336	170	1331	62	152	1901
"CTPD"	78	30	6	20	350	892	262	34	52	10	2	412	50	3968	76	166	132	134	44	138	212	12	24	118	87	42	254	22	28	1116
"CTPG"	98	117	1058	20	520	936	340	48	78	30	0	577	96	3543	146	224	90	184	54	143	358	22	30	118	166	53	816	66	62	802
"CTPV"	149	201	1673	28	790	1778	520	94	134	24	12	1100	103	9015	247	257	123	269	32	239	529	10	14	273	200	117	1210	72	93	1947
"CTX"	325	157	5144	50	1152	875	809	157	155	28	16	541	12	1668	331	687	257	283	70	341	678	30	34	279	439	173	1398	86	120	419
"CUEA"	284	188	14418	53	1062	1208	627	76	164	29	2	881	64	3293	243	400	230	314	95	241	1071	15	30	269	385	156	848	53	132	1361
"CUEO"	46	36	7011	14	265	120	175	41	22	0	2	120	5	58	49	123	36	16	6	50	80	0	14	63	81	47	258	12	16	16
"CUEP"	10	2	3228	6	30	6	9	5	0	0	0	6	0	6	8	16	20	6	4	2	9	0	0	17	8	3	16	0	4	0
"CUER"	18	8	5642	4	67	81	53	17	10	3	0	60	0	222	30	71	12	11	0	16	45	1	0	25	12	14	95	10	20	46
"CUID"	34	32	9703	2	156	160	89	28	12	6	0	110	2	168	66	84	38	36	16	34	94	0	8	68	48	14	158	10	40	52
"CUSA"	90	64	13948	2	293	274	249	95	71	27	12	312	14	433	106	286	106	58	34	87	212	14	24	184	137	69	468	20	61	204
"CUSB"	14	12	5290	8	72	25	104	14	12	2	0	103	0	49	12	85	30	30	12	24	87	14	11	53	14	26	210	2	8	22
"CUSC"	29	21	5890	12	201	69	123	32	22	1	0	139	2	337	52	124	32	32	6	46	95	3	6	129	74	30	223	4	10	28
"CUSF"	8	0	1127	0	24	16	22	2	4	0	1	13	0	2	10	12	2	6	2	6	31	2	0	22	19	16	19	0	2	2
"CUSR"	17	9	3433	2	80	30	34	9	29	10	0	45	0	110	21	66	18	18	13	18	63	2	0	22	39	20	186	12	23	36
"CUSS"	36	26	6302	0	126	148	130	14	30	4	0	143	8	252	75	90	34	26	16	28	43	0	10	50	54	28	234	8	15	160
"CUTA"	6	2	1965	0	38	32	32	4	6	0	0	28	1	14	4	39	10	5	0	22	26	0	2	21	16	4	32	2	0	2
"CUTC"	38	7	5201	5	54	14	22	7	20	0	0	49	3	45	18	35	2	17	4	6	10	6	0	16	10	13	54	4	3	13
"CUTE"	30	30	10411	6	154	90	118	60	34	8	2	54	2	511	38	126	16	25	26	14	68	4	12	69	37	16	242	8	16	60
"CUTF"	50	0	5001	0	34	13	47	13	12	2	2	32	0	64	14	43	12	8	6	9	37	0	2	33	20	14	95	0	0	18
"CUTO"	68	50	34	14	294	246	194	48	62	16	2	205	2	672	64	192	40	52	22	50	216	4	6	84	114	40	638	22	52	171
"CUTR"	2	6	2	0	74	114	16	0	4	2	0	60	10	276	30	14	6	20	2	6	14	0	4	26	6	20	64	0	12	374
"CZCA"	110	38	1604	26	380	317	348	30	44	4	4	248	4	555	92	248	96	124	28	114	290	12	16	92	96	102	436	22	28	209
"CZCB"	30	18	4	2	124	118	136	16	20	10	0	120	2	440	48	106	40	46	14	20	182	8	8	76	50	36	110	20	24	124
"CZCC"	40	14	752	6	192	192	86	34	14	12	6	146	6	432	32	96	52	52	4	65	116	6	8	52	30	12	96	28	12	202
"CZCCM"	52	22	190	2	132	140	102	14	14	8	2	108	0	246	26	70	36	24	16	26	72	4	0	48	26	28	126	20	14	54
"CZCD"	36	6	4	0	122	134	52	26	10	2	0	28	0	126	10	46	24	38	10	6	76	4	0	18	16	14	18	4	0	42
"CZCE"	26	6	4	8	74	46	30	0	10	6	0	14	0	24	12	14	6	8	6	16	78	2	2	12	16	12	44	0	22	14
"CZCP"	144	71	960	23	391	848	247	39	63	6	0	502	30	1775	94	156	117	168	27	97	301	11	20	103	110	66	558	29	32	926
"CZCR"	34	4	1204	4	70	102	86	8	4	0	0	62	20	194	10	43	20	30	10	24	52	0	2	28	24	14	388	20	22	128
"CZCS"	12	18	2	0	86	108	74	18	0	6	0	74	4	796	44	40	20	24	0	18	74	0	6	8	40	12	62	4	2	74
"CZNA"	14	12	2	0	64	90	94	4	20	0	0	46	0	142	70	52	12	14	2	8	84	0	0	42	24	22	108	0	4	44
"CZNB"	14	4	6	0	52	18	48	6	10	0	0	10	0	16	66	50	12	4	4	4	52	0	0	4	16	36	30	4	2	6
"CZNC"	10	0	0	0	34	8	24	2	2	2	0	14	0	14	12	14	12	4	4	6	22	0	0	12	4	14	10	2	6	0
"CZRA"	255	122	23722	26	873	1274	522	102	124	26	10	833	78	5359	204	420	206	309	82	194	662	18	44	186	253	124	816	80	84	1436
"CZRB"	111	128	11597	36	380	912	213	90	84	22	10	508	60	3423	100	222	98	126	34	114	316	34	16	140	108	50	375	24	56	1010
"DES"	24	6	456	0	20	30	12	10	2	0	0	12	0	28	18	14	10	14	10	4	48	0	2	38	14	6	94	6	8	8
"DFRA"	118	42	539	4	374	257	318	50	59	8	6	170	0	708	117	256	66	60	20	100	250	4	22	83	106	74	354	22	16	78
"DFRB"	22	16	564	0	54	22	32	2	8	0	0	18	0	92	26	20	8	4	6	10	34	0	0	10	6	4	26	4	0	10
"DFRC|RequiresSNPConfirmation"	0	0	289	0	14	0	8	0	0	0	0	10	0	12	18	0	4	0	0	0	6	0	0	0	2	4	12	0	0	0
"DFRD"	4	2	0	0	32	4	14	2	0	0	0	8	0	4	16	0	0	8	8	18	2	4	0	9	0	8	10	5	0	2
"DFRE"	4	0	1421	0	26	2	30	0	8	2	10	8	0	14	8	6	0	0	0	4	8	0	0	0	6	0	14	4	0	4
"DFRF"	8	0	2	1	29	4	3	0	2	1	0	2	0	20	0	8	0	2	2	0	4	4	0	8	14	4	12	0	0	2
"DFRG"	0	0	0	2	0	7	12	4	0	0	0	15	0	22	1	8	2	5	0	8	6	1	0	0	0	0	8	0	0	8
"DFRI"	2	0	0	0	18	2	12	0	0	0	0	0	0	8	2	12	2	0	8	0	4	0	0	0	0	6	0	0	2	0
"DFRK"	0	2	0	0	22	2	10	0	0	0	0	8	0	4	6	20	2	6	0	14	4	0	0	2	4	24	38	4	6	0
"DHA"	40	46	490	10	270	190	182	34	58	4	2	132	0	124	90	182	48	46	18	24	206	2	20	74	88	74	642	14	24	56
"DHAP"	2	6	3026	0	50	24	22	0	0	0	0	34	0	50	18	13	2	4	0	20	0	0	2	4	2	16	2	0	0	6
"DHFR|RequiresSNPConfirmation"	26	6	110	6	114	115	108	8	12	8	0	191	0	430	36	98	18	26	6	52	76	0	6	26	18	40	144	10	4	54
"DHFRIII|RequiresSNPConfirmation"	4	0	0	0	28	2	16	0	0	6	0	10	0	6	0	6	4	10	2	10	24	0	0	4	12	0	0	0	0	2
"DHT"	68	54	574	6	326	294	166	30	60	8	4	196	24	546	26	132	50	84	20	94	202	12	8	80	56	48	244	20	28	231
"DIM"	8	2	12	0	10	11	10	0	0	0	0	0	0	0	2	12	6	0	0	4	10	0	2	0	2	2	22	0	6	0
"DMEF"	116	64	1644	16	432	572	266	60	108	12	0	369	26	1808	92	228	112	168	28	120	322	12	12	140	142	98	328	48	50	502
"DMER"	10	6	6	4	74	106	16	16	6	6	0	32	0	88	18	21	12	26	14	14	36	0	0	18	16	12	74	2	14	132
"DNAK"	760	726	2590	153	3082	7704	2199	474	529	89	8	4412	377	24604	780	1581	726	1124	224	868	2203	83	116	1205	1158	379	3958	271	517	8369
"DPR"	26	8	0	0	26	22	38	4	0	0	0	10	2	74	6	14	12	0	4	0	18	0	6	2	26	4	18	6	0	8
"DPSA"	36	16	370	4	84	140	66	2	20	6	4	85	18	454	24	54	16	20	6	8	66	0	6	15	66	16	110	2	12	64
"DRRA"	96	50	1136	16	330	706	208	40	100	10	6	360	10	1395	68	162	131	183	28	120	227	14	9	103	58	34	278	47	37	759
"DSBA"	16	4	4145	3	76	28	58	9	12	6	0	76	2	18	10	46	14	28	4	22	40	10	0	61	24	24	174	8	13	10
"DSBB"	5	0	2493	0	25	21	12	12	4	0	0	29	0	6	12	44	24	12	8	5	16	0	0	31	38	20	86	0	6	20
"DSBC"	15	18	3730	0	47	48	47	11	12	2	0	23	2	22	32	61	26	4	2	6	34	2	2	23	14	13	112	2	9	6
"EATAV|RequiresSNPConfirmation"	20	2	234	8	88	38	84	10	2	4	0	26	0	88	24	70	20	8	0	36	3182	2	2	14	14	12	72	6	6	30
"EBR"	2	2	0	0	32	24	4	2	10	0	0	8	4	22	2	20	6	0	0	0	8	0	0	0	2	8	4	2	6	8
"EBRA"	2	2	918	0	10	10	3	0	0	0	0	4	0	24	0	16	0	2	0	2	12	0	2	0	2	0	0	0	2	0
"EBRB"	8	4	844	0	6	34	18	0	2	0	0	0	0	4	0	8	10	4	0	0	0	0	0	8	0	0	4	0	2	0
"ECV"	22	0	2	0	4	58	44	0	4	0	0	30	0	122	8	4	10	14	0	14	10	0	0	6	2	4	16	0	6	152
"EDEQ"	2	0	0	0	18	4	8	0	0	0	0	2	0	6	4	6	2	4	2	6	6	0	0	6	6	6	2	0	0	0
"EEFA"	26	24	992	2	206	212	164	16	68	2	2	126	6	334	36	96	8	68	16	34	152	0	8	56	38	34	96	0	24	268
"EEFX"	0	0	0	0	6	14	8	0	0	0	0	18	0	10	2	6	2	0	0	2	6	0	0	0	0	0	2	0	8	0
"EFM"	52	20	2	4	178	218	162	10	22	6	0	108	0	610	40	116	46	32	12	58	102	6	10	26	58	26	168	14	28	188
"EFMA"	16	6	0	0	22	14	10	2	4	0	0	14	0	108	6	18	8	2	2	0	8	0	0	2	12	2	42	0	2	0
"EFPA"	46	28	526	8	266	326	132	50	42	12	0	164	8	636	60	84	62	64	30	32	138	4	8	110	40	24	258	24	24	156
"EFRA"	11	0	4557	0	29	95	33	2	12	5	0	40	0	286	36	29	14	4	0	6	22	0	0	6	18	2	1	8	10	30
"EFRB"	16	2	3434	2	62	27	44	1	14	0	0	26	4	125	22	86	6	14	10	16	20	0	4	12	14	4	58	2	2	19
"ELM"	14	8	0	0	58	56	78	30	16	2	0	42	2	98	14	54	18	18	10	34	46	0	0	28	24	14	88	10	14	32
"EMBA|RequiresSNPConfirmation"	126	76	1438	34	670	886	393	82	78	30	6	588	4	2448	158	294	140	164	42	156	444	10	6	203	188	102	452	56	84	641
"EMBB|RequiresSNPConfirmation"	92	115	1052	2	366	997	251	46	48	6	0	649	56	4585	105	154	82	200	42	113	318	7	8	97	82	46	524	43	53	1121
"EMBC|RequiresSNPConfirmation"	94	120	682	20	532	1797	288	126	132	16	4	1231	115	7812	100	225	167	186	80	150	280	26	14	188	136	83	1360	72	91	1543
"EMBR|RequiresSNPConfirmation"	42	42	4	8	136	246	98	26	24	10	2	108	28	704	46	70	36	24	24	42	78	0	4	36	22	34	80	6	20	286
"EMEA"	16	4	2764	0	40	8	32	0	0	4	0	7	0	16	8	26	6	6	2	10	10	0	0	4	6	7	15	0	4	0
"EMHA"	46	18	270	6	114	132	162	12	16	2	0	52	0	52	26	104	14	48	4	46	112	2	10	58	50	18	112	9	16	22
"EMHB"	132	50	1728	22	454	647	344	68	81	24	18	422	14	1148	133	278	98	112	38	108	304	7	26	121	326	81	694	40	62	666
"EMHC"	84	72	1415	26	390	551	216	36	55	20	2	261	34	888	84	192	66	114	24	88	294	12	8	120	94	67	228	18	68	528
"EMHR"	14	8	322	0	90	74	64	18	8	0	0	22	0	48	22	36	20	16	2	10	42	6	8	12	34	20	350	4	6	20
"EMMDR"	44	24	0	4	142	148	120	42	12	2	0	130	4	310	30	66	42	62	24	16	58	0	2	28	40	12	114	2	14	130
"EMRA"	37	5	3856	2	54	68	66	10	42	4	0	102	0	48	22	50	20	28	8	12	53	2	2	22	39	14	150	4	25	30
"EMRASM"	113	50	6016	28	412	387	216	64	100	10	0	278	12	2570	58	238	88	98	32	110	352	14	24	120	98	78	400	28	60	415
"EMRB"	52	30	4219	10	60	72	96	19	4	5	0	92	4	444	38	117	30	24	9	29	53	4	2	29	14	15	168	14	7	57
"EMRBSM"	74	34	3562	12	330	459	152	42	38	6	6	314	6	643	56	212	122	84	32	102	250	0	12	171	106	64	282	20	24	442
"EMRCSM"	94	50	2749	12	448	676	240	84	60	22	8	379	10	1401	78	94	82	124	28	106	188	14	12	90	150	58	344	34	82	726
"EMRD"	72	32	12194	6	206	296	232	48	34	6	10	245	1	1022	62	169	70	72	34	62	161	14	9	118	102	42	397	12	30	262
"EMRE"	34	22	3937	8	145	148	84	24	24	10	2	70	14	1652	22	70	24	32	10	22	88	0	8	24	48	20	78	20	12	88
"EMRK"	6	8	3124	0	32	40	53	7	0	6	0	68	4	82	18	60	28	10	6	46	18	6	2	19	10	10	78	2	2	38
"EMRR"	11	5	1895	0	52	68	26	9	0	0	0	48	0	111	14	36	2	4	0	6	32	4	4	21	9	12	56	0	3	6
