"K2"	"K4"	"K10"	"K3"	"K5"	"K23"	"K7"	"K24"	"K19"	"K8"	"K9"	"K28"	"K12"	"K6"	"K30"	"K21"	"K11"	"K14"	"K17"	"K27"	"K16"	"K1"	"K20"	"K25"	"K26"	"K22"	"K13"	"K18"	"K29"	"K15"
"ADEN"	4	0	0	4	26	2	12	0	2	0	0	7	0	2	5	4	8	0	4	2	16	0	0	10	0	0	8	0	0	0
"ADER"	12	2	0	0	14	26	10	18	0	0	0	2	2	108	10	4	0	0	8	18	4	0	0	10	2	4	10	2	2	8
"ADES"	14	0	0	0	10	4	18	4	2	0	0	6	0	2	10	8	4	8	0	16	10	0	4	2	6	2	8	0	0	2
"ADET1"	20	4	0	0	4	30	20	12	2	0	0	8	2	22	8	12	8	10	6	0	14	0	0	4	8	4	0	0	0	8
"ADET2"	8	4	0	0	8	90	20	2	4	0	0	30	0	108	6	6	6	4	0	0	0	0	0	2	8	6	26	2	0	110
"AER"	16	16	16	2	78	20	78	0	24	0	0	24	0	92	36	72	12	10	2	24	78	0	2	34	24	20	70	2	8	52
"AFM"	40	22	334	10	146	132	128	18	24	0	0	98	4	430	44	68	32	44	6	56	124	0	4	36	68	40	146	12	20	110
"AIM"	42	12	748	6	194	148	98	28	28	2	0	122	0	716	34	88	56	52	18	68	104	10	2	68	38	6	216	8	20	280
"AIOA"	22	2	0	0	106	72	84	16	4	14	0	34	0	26	36	40	16	16	10	8	54	6	6	8	42	22	48	8	8	16
"AIOB"	6	2	0	2	24	12	8	2	2	0	0	6	0	18	4	6	0	0	0	2	16	0	0	6	2	2	0	0	0	4
"AIOE"	16	6	114	2	60	124	42	28	10	6	4	96	10	246	16	50	16	12	8	22	60	4	0	32	30	14	34	4	20	80
"AIOR"	43	20	0	0	281	117	140	31	19	1	0	154	0	63	117	178	59	16	9	48	80	0	4	40	42	27	215	9	10	36
"AIOS"	44	14	152	2	116	138	62	46	10	0	0	76	2	206	22	86	18	52	6	10	68	0	0	36	30	14	76	8	24	56
"AIOX"	36	8	1224	2	34	42	40	4	8	0	0	26	0	28	12	42	8	14	0	4	6	0	0	32	24	0	32	2	0	26
"ALG"	42	20	809	12	234	256	156	18	60	8	2	212	2	394	72	162	50	84	16	74	308	0	4	98	64	34	220	20	36	138
"ALI"	14	4	8	0	50	2	10	0	4	0	0	24	0	12	8	16	6	10	0	0	10	0	0	6	6	0	32	0	6	4
"ALMG"	6	4	322	2	40	22	16	6	8	0	0	22	0	46	4	26	6	6	14	10	20	0	4	6	6	18	20	0	0	6
"ALU1P"	6	0	102	0	15	18	28	6	6	0	0	10	0	16	16	10	2	4	0	8	22	0	2	6	0	2	6	0	2	0
"AMPC"	41	41	4072	6	281	308	190	45	34	22	0	155	18	576	74	166	29	100	26	34	156	2	12	104	96	35	301	25	40	390
"AMPH"	80	32	7488	26	176	264	146	36	50	8	2	197	36	1709	60	191	23	35	12	40	103	8	6	102	42	48	178	11	21	206
"AMRA"	120	66	1410	8	374	632	196	26	118	26	4	352	22	1586	64	140	102	142	48	114	202	12	20	92	76	30	220	46	76	712
"AMRB"	192	158	2286	61	1035	1537	435	81	153	49	12	777	92	3187	177	389	266	229	65	277	587	28	30	283	278	203	1232	88	147	1160
"AMVA"	4	16	2	8	12	62	38	0	6	0	0	14	0	12	28	26	8	4	0	6	28	0	0	6	0	10	26	0	4	6
"ANA"	30	26	284	2	98	130	52	8	12	8	0	80	8	848	16	20	24	46	8	16	66	8	2	10	38	8	238	14	20	182
"ANT2-DPRIME"	22	8	86	0	74	108	26	12	18	0	0	42	8	55	18	40	2	12	10	30	70	2	0	6	12	20	44	2	2	19
"ANT3-DPRIME"	298	237	608	39	1373	3332	1053	78	179	40	8	861	213	9689	504	748	154	248	53	376	602	31	37	318	286	179	1346	92	105	1177
"ANT4-PRIME"	44	22	38224	10	189	183	120	22	32	0	0	90	9	362	37	140	28	47	2	34	126	14	5	54	57	34	159	8	8	77
"ANT6"	112	1233	25	40	509	7201	1344	74	84	6	0	979	65	48571	5662	258	102	252	12	248	294	125	20	255	98	92	288	83	137	2268
"ANT9"	14	9	34	5	115	492	152	2	5	6	0	111	9	2470	81	75	8	25	14	93	125	5	0	37	35	112	183	0	17	22
"APH2-DPRIME"	152	18	196	22	260	113	317	24	44	7	0	78	0	180	89	188	47	38	16	57	137	0	10	57	93	28	309	11	32	47
"APH3-DPRIME"	364	436	8495	70	1430	10733	1000	173	189	53	31	4161	64	9305	2550	828	426	447	95	396	802	92	79	541	351	242	1112	143	196	2436
"APH3-PRIME"	292	109	6934	38	947	1333	669	106	162	42	2	665	58	3800	322	480	248	252	80	225	533	36	30	198	270	166	1039	96	108	1076
"APH4"	28	12	234	2	170	74	96	12	32	12	4	62	0	32	24	66	44	30	6	36	72	10	2	16	72	24	98	18	10	36
"APH6"	309	397	797	38	1165	10120	983	94	188	34	6	4221	95	8157	2789	395	318	400	76	332	591	55	37	349	328	207	1169	139	139	2422
"APH7-DPRIME"	84	56	294	10	300	338	214	16	22	2	6	208	4	710	56	88	62	86	20	56	228	0	12	60	90	42	206	30	48	438
"APH9"	44	26	50	0	240	160	200	24	42	12	0	82	6	222	30	186	60	38	6	50	92	4	8	40	54	54	110	12	14	70
"APMA"	16	0	0	4	46	10	40	4	6	4	0	38	0	10	10	30	8	0	20	4	34	0	6	8	26	2	94	2	0	6
"AQU"	26	10	0	8	124	124	78	12	16	8	0	68	0	100	30	52	30	42	8	32	118	2	2	24	34	12	86	10	16	90
"ARIR"	8	0	800	0	27	0	2	3	0	1	0	19	0	4	0	16	4	2	3	0	2	0	0	4	0	2	14	0	0	0
"ARL"	24	4	0	0	46	32	24	2	0	2	0	6	0	30	12	24	6	0	2	0	28	0	0	0	10	8	280	2	8	2
"ARLR"	12	10	2181	2	18	13	38	0	2	0	0	15	0	87	9	34	2	2	0	2	22	0	0	2	16	8	18	2	0	0
"ARLS"	4	2	3369	2	18	10	30	0	1	4	0	14	0	111	8	14	4	0	0	2	12	0	2	12	7	2	12	0	2	4
"ARMA"	4	2	2	0	18	28	12	2	0	0	0	4	0	24	2	8	0	0	6	12	6	0	0	0	8	4	12	0	0	0
"ARMR"	14	16	1871	1	31	40	12	0	2	0	0	20	0	88	4	12	16	8	2	8	20	0	0	6	4	0	6	2	8	34
"ARNA"	174	124	21558	23	603	1166	310	91	138	24	8	745	74	2554	151	268	158	226	50	220	303	2	20	156	162	62	504	74	100	1175
"ARR"	38	39	186	0	208	274	142	26	22	4	2	75	2	205	94	100	32	32	18	26	104	0	10	56	66	30	106	16	10	111
"ARRA"	28	4	360	0	132	78	80	34	6	0	0	12	0	138	22	46	12	12	6	8	38	0	6	2	8	8	56	4	6	38
"ARRB"	0	4	0	0	20	2	32	0	2	0	0	20	0	48	6	18	10	0	0	4	14	0	0	8	12	4	18	0	0	8
"ARSA"	128	30	627	6	346	260	280	7	52	16	0	155	4	204	170	396	58	48	42	88	188	4	10	114	96	38	286	24	20	86
"ARSB"	10	9	145	4	118	162	108	26	10	4	3	56	2	141	34	74	16	22	16	10	45	0	4	33	22	36	103	8	22	30
"ARSBM"	124	46	2584	14	378	281	280	52	62	12	6	204	4	590	92	280	62	88	17	96	228	14	13	94	114	75	393	26	22	218
"ARSC"	24	6	1308	4	106	58	40	8	8	0	0	20	1	196	14	136	20	12	2	18	16	4	4	10	34	30	66	6	4	15
"ARSCM"	35	10	204	14	99	63	118	2	14	4	0	59	2	90	74	94	18	18	2	16	42	0	4	33	35	12	99	10	8	10
"ARSD"	20	4	0	0	130	16	58	18	6	0	0	30	0	18	16	63	6	18	6	6	36	2	7	24	30	6	80	4	6	0
"ARSDM"	2	12	1	0	30	0	18	0	2	0	0	12	0	14	4	8	2	8	0	2	10	2	0	8	4	8	18	2	4	1
"ARSH"	18	14	569	1	55	8	24	8	2	0	0	10	0	68	20	26	6	12	0	6	16	0	0	4	24	16	24	0	2	30
"ARSHN"	6	10	40	0	34	52	60	12	8	2	0	56	4	54	38	24	8	12	16	12	36	0	0	26	12	0	16	0	8	76
"ARSM"	84	48	782	22	367	636	170	26	78	8	6	345	40	1547	72	128	80	118	23	74	247	10	14	98	98	44	258	29	30	745
"ARSP"	0	0	0	0	20	2	22	0	0	0	0	12	8	6	2	8	0	18	0	0	14	0	2	0	8	0	10	4	0	0
"ARSR"	14	2	29	2	57	30	25	4	14	0	0	28	0	26	24	47	8	14	4	6	33	6	0	8	4	12	23	8	0	11
"ARSRM"	2	8	409	0	24	8	8	2	6	0	0	12	0	16	26	10	10	2	4	8	4	0	0	18	14	0	19	2	6	8
"ARST"	57	162	503	10	353	1510	259	18	34	4	0	1085	22	4039	136	76	66	172	27	109	126	17	2	119	70	36	1191	49	48	2299
"ASMA"	104	32	10440	26	382	376	298	67	60	26	8	202	2	549	101	276	82	125	32	68	177	4	28	147	103	50	254	26	47	328
"ASR"	6	0	1715	0	33	12	38	12	0	0	0	36	2	7	10	10	5	16	0	14	2	4	0	8	20	8	31	4	2	9
"AST"	68	30	796	12	198	554	146	26	26	16	2	280	24	1784	22	46	24	86	14	64	148	8	0	64	40	62	114	8	26	462
"AXC"	36	16	732	20	208	196	94	8	28	2	6	88	0	1862	34	72	18	38	22	52	80	2	2	38	22	44	158	26	20	114
"AXY"	362	330	4884	60	1471	1967	842	230	294	34	20	1265	52	5299	334	1014	394	422	132	497	1018	26	80	304	402	200	1268	170	212	1954
"AXYZ|RequiresSNPConfirmation"	28	32	456	0	150	288	78	6	8	12	2	104	6	294	26	50	34	40	0	54	104	16	10	30	62	24	90	22	26	206
"AZECL"	0	0	30	0	2	2	2	0	2	0	0	2	0	4	0	0	0	0	0	2	2	0	0	0	2	0	2	0	0	0
"BACA"	34	8	5834	2	76	74	110	18	5	2	2	69	2	79	36	87	12	10	12	8	90	2	1	51	17	10	137	4	8	36
"BAER"	88	24	11702	25	289	164	251	57	65	12	0	177	5	212	116	232	93	76	20	62	201	6	23	91	97	66	293	28	38	92
"BAES"	85	36	19073	8	429	387	258	42	60	15	10	239	4	343	93	296	62	110	30	98	219	4	13	147	106	60	334	19	31	182
"BAHA"	24	16	2	0	84	154	82	2	18	0	0	50	2	312	22	74	6	30	4	34	56	2	2	18	24	12	46	4	12	36
"BASRS"	110	82	16031	13	412	589	198	36	84	22	0	336	46	999	111	256	114	116	16	146	259	12	32	192	158	84	262	32	40	474
"BASRS|RequiresSNPConfirmation"	118	106	11199	23	498	659	249	64	133	10	2	338	10	1447	134	195	94	101	48	171	350	10	12	140	112	57	262	42	60	728
"BAT"	4	0	38	0	32	8	28	6	0	0	0	2	0	86	8	16	2	6	0	14	24	0	4	0	2	2	12	0	0	2
"BBI"	14	2	38	12	40	8	8	8	0	0	0	10	0	4	14	24	4	8	0	2	20	0	0	10	18	4	40	0	0	2
"BC"	4	0	78	0	18	4	22	2	0	0	0	2	0	2	2	6	0	0	0	4	0	0	0	0	0	0	10	0	4	4
"BCII"	18	4	16	2	42	14	18	0	0	0	0	12	0	48	12	22	8	0	0	2	40	0	4	6	14	2	24	8	6	12
"BCL"	6	0	0	0	52	4	34	2	0	0	0	22	0	20	10	14	8	18	0	4	36	0	0	8	20	10	28	0	4	4
"BCR"	32	20	6350	6	145	64	109	18	18	8	0	74	0	572	37	111	24	25	14	25	42	9	10	46	40	28	210	4	2	34
"BCR1"	110	72	13881	28	317	572	192	70	54	16	0	366	24	1339	56	138	83	127	22	120	198	10	12	137	90	66	277	34	80	713
"BCRA"	14	18	24	8	76	72	108	12	14	2	0	52	4	184	38	58	38	18	2	24	66	2	4	44	58	22	94	18	2	50
"BCRB"	10	0	82	0	58	20	22	2	10	0	0	14	2	30	12	8	12	6	0	8	26	0	0	10	6	6	16	0	2	10
"BCRC"	4	0	0	2	18	8	28	0	6	0	0	0	0	20	4	40	0	4	0	10	6	4	0	10	4	4	16	0	0	4
"BCRCM"	2	0	0	0	9	30	10	0	2	2	0	16	0	16	2	10	8	0	0	0	10	0	2	2	2	0	20	0	0	0
"BEL"	6	0	0	8	30	20	14	2	6	0	0	6	0	8	10	34	4	10	2	0	2	0	0	2	18	8	20	0	0	0
"BEPC"	22	10	0	6	148	55	62	14	10	6	0	38	2	68	18	76	10	26	14	14	50	2	4	16	34	34	74	8	4	44
"BEPD"	54	14	0	2	162	162	66	6	24	12	0	86	0	128	70	74	34	20	10	14	72	2	6	38	84	20	214	14	6	62
"BEPE"	170	124	1762	18	656	575	404	80	86	22	0	418	18	1217	198	402	136	186	60	125	480	26	17	178	168	172	524	52	78	436
"BEPF"	64	22	448	8	138	188	102	20	20	18	0	114	22	500	34	140	30	32	18	98	124	4	10	20	68	22	142	6	14	200
"BEPG"	86	42	1192	13	384	467	374	44	114	20	0	302	18	578	138	246	110	118	56	78	355	2	25	126	114	77	438	18	56	337
"BES"	16	10	58	0	64	124	64	8	10	6	0	92	28	426	24	62	8	18	10	14	44	0	14	12	10	2	70	10	26	278
"BEXA"	38	12	2	14	102	66	101	16	4	1	0	20	0	24	48	59	24	20	8	44	86	4	6	38	8	26	64	0	10	12
"BFRA"	4	0	376	4	42	66	30	2	6	0	0	6	0	24	10	22	14	10	8	10	18	0	0	20	32	8	60	0	4	30
"BHSA"	9	2	1217	0	18	8	25	2	0	0	0	12	2	10	0	8	0	2	2	10	4	2	5	9	10	2	31	0	0	12
"BIC"	14	2	0	0	56	96	50	12	2	0	0	70	0	208	16	14	2	42	0	4	42	0	6	8	16	22	12	6	6	330
"BIL"	2	0	0	0	4	0	4	0	2	0	0	0	0	6	0	6	0	0	0	0	0	0	0	4	2	0	0	0	0	2
"BJP1"	68	78	208	46	378	484	312	36	78	10	4	318	42	2074	104	368	88	86	38	116	230	8	18	98	204	70	612	26	54	492
"BKC"	68	20	886	8	214	260	156	46	62	10	0	198	2	658	50	92	60	66	14	44	150	8	12	60	80	6	164	42	14	362
"BLA1"	14	4	6	4	14	16	14	2	0	0	0	6	0	6	2	24	8	2	0	8	12	0	0	2	4	6	24	0	4	14
"BLA2"	0	0	0	0	0	10	8	0	0	0	0	0	0	0	8	4	0	4	0	2	8	0	0	4	2	0	8	0	0	4
